Retrieved by E4-util: 2012/01/16,13:56:13                            1 0  0    0
 4.009000+3 8.934761+0         -1          0          0          1 409 1451    1
 0.000000+0 0.000000+0          0          0          0          6 409 1451    2
 9.991673-1 1.130000+8          1          0      10010          7 409 1451    3
 0.000000+0 0.000000+0          0          0         10         17 409 1451    4
  4-Be-  9 LANL       EVAL-NOV88 P.G.Young, E.D.Arthur             409 1451    5
                      DIST-DEC06 REV1-                 20111222    409 1451    6
----ENDF/B-VII.1      MATERIAL  409         REVISION 1             409 1451    7
-----INCIDENT PROTON DATA                                          409 1451    8
------ENDF-6 FORMAT                                                409 1451    9
                                                                   409 1451   10
 REFERENCE: P. G. Young, E. D. Arthur, et al, "Transport Data      409 1451   11
 Libraries for Incident Proton and Neutron Energies to 100 Mev,"   409 1451   12
 Los Alamos National Laboratory report LA-11753-MS (July 1990).    409 1451   13
 1.200000+7 9.125000-3 1.400000+7 7.400000-3 1.600000+7 6.425000-3 409 3 54    5
 1.800000+7 5.925000-3 2.000000+7 5.575000-3 3.000000+7 8.000000-3 409 3 54    6
 4.000000+7 6.500000-3 5.000000+7 2.500000-3 7.500000+7 1.500000-3 409 3 54    7
 1.000000+8 1.000000-3 1.130000+8 7.500000-4                       409 3 54    8
 0.000000+0 0.000000+0          0          0          0          0 409 3  099999
 4.009000+3 8.934761+0          0          0          0          0 409 3 55    1
 0.000000+0-8.820600+6          0          0          1         13 409 3 55    2
         13          2                                             409 3 55    3
 9.807800+6 0.000000+0 1.000000+7 5.000000-3 1.200000+7 9.125000-3 409 3 55    4
 1.400000+7 7.400000-3 1.600000+7 6.425000-3 1.800000+7 5.925000-3 409 3 55    5
 2.000000+7 5.575000-3 3.000000+7 8.000000-3 4.000000+7 6.500000-3 409 3 55    6
 5.000000+7 2.500000-3 7.500000+7 1.500000-3 1.000000+8 1.000000-3 409 3 55    7
 1.130000+8 7.500000-4                                             409 3 55    8
 0.000000+0 0.000000+0          0          0          0          0 409 3  099999
 0.000000+0 0.000000+0          0          0          0          0 409 0  0    0
 4.009000+3 8.934761+0          0          2          1          0 409 6  2    1
 1.001000+3 9.991673-1          0          5          1          2 409 6  2    2
          2          2                                             409 6  2    3
 5.000000+5 1.000000+0 1.130000+8 1.000000+0                       409 6  2    4
 5.000000-1 0.000000+0          0          0          1         33 409 6  2    5
         33          2                                             409 6  2    6
 0.000000+0 5.000000+5         12          0         70         35 409 6  2    7
-1.000000+0 8.154121-1-9.961947-1 8.282070-1-9.848077-1 8.442634-1 409 6  2    8
-9.659258-1 8.710710-1-9.396926-1 9.094332-1-9.063078-1 9.596697-1 409 6  2    9
-8.660254-1 1.022856+0-8.191520-1 1.099599+0-7.660444-1 1.191597+0 409 6  2   10
-7.071068-1 1.299575+0-6.427876-1 1.425724+0-5.735764-1 1.571257+0 409 6  2   11
-5.000000-1 1.737764+0-4.226182-1 1.926922+0-3.420201-1 2.140476+0 409 6  2   12
-2.588190-1 2.379417+0-1.736481-1 2.643206+0-8.715571-2 2.930344+0 409 6  2   13
 2.679490-8 3.236823+0 8.715577-2 3.553711+0 1.736482-1 3.866164+0 409 6  2   14
 2.588191-1 4.147472+0 3.420202-1 4.354119+0 4.226183-1 4.417855+0 409 6  2   15
 5.000000-1 4.226967+0 5.735764-1 3.608348+0 6.427876-1 2.290728+0 409 6  2   16
